107,1900.0,0.0,1102.4
108,2100.0,0.0,1100.28
109,2300.0,0.0,1090.3
110,2500.0,0.0,1067.15
111,2600.0,0.0,1047.75
112,2700.0,0.0,1017.73
113,2820.15,0.0,975.0
114,2944.43,0.0,925.0
115,3057.9,0.0,875.0
116,3164.15,0.0,825.0
117,3265.23,0.0,775.0
118,3300.0,0.0,757.33
119,3400.0,0.0,746.1
120,3500.0,0.0,735.35
121,3575.25,0.0,725.0
122,3700.0,0.0,717.45
123,3709.73,0.0,650.0
124,3715.28,0.0,600.0
125,2803.68,-200.0,975.0
126,3042.9,-200.0,875.0
127,3251.25,-200.0,775.0
128,3500.0,-200.0,731.48
129,2743.55,-400.0,975.0
130,2989.1,-400.0,875.0
131,3200.9,-400.0,775.0
132,3500.0,-400.0,721.2
133,2619.5,-600.0,975.0
134,2778.4,-600.0,925.0
259,2930.6,-689.8,775.0
260,3008.4,-677.2,775.0
261,3085.5,-643.1,775.0
262,2753.8,-656.6,875.0
263,2831.7,-643.3,875.0
264,2872.8,-625.7,875.0
265,2561.2,-619.1,963.8
266,2664.2,-576.0,975.0
267,3099.9,-588.4,775.0
268,2897.9,-565.2,875.0
269,2667.9,-529.1,975.0
270,3008.4,677.2,775.0
271,2831.7,643.3,875.0
272,2619.5,600.0,975.0
